epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.158,5.13495,6.28856,3.30753,0.5164,0.23364,0.19599,0.08344,4.5698,4.5189,3.14786,0.000416344,0.000416344,0.000416344
2,284.075,4.87949,4.66995,3.04418,0.3216,0.25899,0.26528,0.12192,4.29705,4.4632,3.00249,0.000805521,0.000805521,0.000805521
3,416.439,4.82206,4.4276,2.97927,0.39453,0.36449,0.30848,0.1383,4.20485,4.03197,2.95606,0.0011672,0.0011672,0.0011672
4,548.593,4.78947,4.24655,2.94195,0.38939,0.36887,0.32522,0.1493,4.22999,3.88418,2.94138,0.00112625,0.00112625,0.00112625
5,684.156,4.67477,4.08152,2.91148,0.43827,0.42061,0.3296,0.15178,4.11356,3.92919,2.84498,0.001085,0.001085,0.001085
6,817.163,4.66623,3.92683,2.8814,0.46697,0.38036,0.32068,0.13713,4.21977,4.09135,2.91169,0.00104375,0.00104375,0.00104375
7,956.174,4.62605,3.87361,2.86298,0.40906,0.33532,0.30081,0.1477,4.34637,3.88952,2.9963,0.0010025,0.0010025,0.0010025
8,1094.69,4.58999,3.77742,2.83985,0.44847,0.39825,0.36061,0.1632,4.14121,3.55791,2.85429,0.00096125,0.00096125,0.00096125
9,1227.08,4.53474,3.75748,2.8347,0.4811,0.40458,0.38331,0.18637,4.00608,3.53183,2.78729,0.00092,0.00092,0.00092
10,1358.07,4.54352,3.70925,2.80575,0.48892,0.41592,0.36235,0.17626,3.98391,3.58716,2.77639,0.00087875,0.00087875,0.00087875
11,1489.61,4.47769,3.64665,2.79652,0.53918,0.42095,0.39588,0.19027,3.92502,3.35022,2.7274,0.0008375,0.0008375,0.0008375
12,1621.27,4.47871,3.5845,2.78543,0.4416,0.41342,0.38602,0.18762,3.92257,3.4782,2.74067,0.00079625,0.00079625,0.00079625
13,1758.25,4.49106,3.52828,2.76492,0.49059,0.42045,0.39623,0.18976,3.90388,3.36789,2.71413,0.000755,0.000755,0.000755
14,1889.97,4.41672,3.44423,2.74381,0.53902,0.449,0.43736,0.20824,3.88259,3.66658,2.72157,0.00071375,0.00071375,0.00071375
15,2020.88,4.42403,3.46247,2.74791,0.56052,0.43016,0.42,0.20391,3.96338,3.34302,2.75886,0.0006725,0.0006725,0.0006725
16,2155.08,4.39069,3.3975,2.73381,0.49645,0.42101,0.40942,0.20164,3.92927,3.36516,2.74592,0.00063125,0.00063125,0.00063125
17,2293,4.36003,3.40515,2.73264,0.55931,0.47619,0.45709,0.22442,3.86415,3.21444,2.70035,0.00059,0.00059,0.00059
18,2426.96,4.38978,3.39613,2.73361,0.50433,0.44635,0.42822,0.20516,3.96005,3.27846,2.74221,0.00054875,0.00054875,0.00054875
19,2559.29,4.36777,3.35145,2.7266,0.53127,0.45466,0.45476,0.21626,3.9247,3.21911,2.74611,0.0005075,0.0005075,0.0005075
20,2696.66,4.31364,3.30828,2.71099,0.52838,0.46688,0.45281,0.2186,3.92378,3.19744,2.73015,0.00046625,0.00046625,0.00046625
21,2833.07,4.32668,3.86566,2.81732,0.49159,0.43305,0.39724,0.18892,3.87258,3.3763,2.68944,0.000425,0.000425,0.000425
22,2967.68,4.30903,3.87317,2.81386,0.48711,0.43839,0.40012,0.18431,3.85528,3.40024,2.69796,0.00038375,0.00038375,0.00038375
23,3104.21,4.28049,3.65312,2.79729,0.4954,0.38816,0.38359,0.19122,3.87643,3.44484,2.67452,0.0003425,0.0003425,0.0003425
24,3241.52,4.24197,3.61628,2.78397,0.47348,0.40626,0.38861,0.19092,3.81344,3.32517,2.65208,0.00030125,0.00030125,0.00030125
25,3372.1,4.23399,3.50165,2.76981,0.47382,0.4214,0.41492,0.20451,3.7979,3.33362,2.66626,0.00026,0.00026,0.00026
26,3502.62,4.18815,3.42565,2.75848,0.45985,0.41883,0.38869,0.18512,3.98136,3.39101,2.7873,0.00021875,0.00021875,0.00021875
27,3633.02,4.14715,3.40386,2.74497,0.48086,0.41247,0.38832,0.18867,3.84461,3.3297,2.71083,0.0001775,0.0001775,0.0001775
28,3763.76,4.16151,3.46312,2.74244,0.46922,0.39143,0.3804,0.18219,3.84899,3.37795,2.70008,0.00013625,0.00013625,0.00013625
29,3894.69,4.12874,3.34278,2.72685,0.47452,0.40858,0.38693,0.18385,3.87209,3.34901,2.71657,9.5e-05,9.5e-05,9.5e-05
30,4024.95,4.10638,3.36391,2.71289,0.45773,0.41103,0.39564,0.19651,3.8173,3.30766,2.67129,5.375e-05,5.375e-05,5.375e-05
