epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.506,3.62498,2.56243,3.06257,0.65087,0.09081,0.10147,0.03355,3.08613,2.37659,2.7081,0.000416344,0.000416344,0.000416344
2,365.315,2.84556,2.06408,2.29935,0.31424,0.32319,0.27399,0.09916,2.62231,1.9311,2.25784,0.000805521,0.000805521,0.000805521
3,543.704,2.7007,1.9999,2.12648,0.37307,0.34809,0.31391,0.13315,2.50255,1.80009,2.11691,0.0011672,0.0011672,0.0011672
4,722.02,2.61401,1.93222,2.01735,0.40378,0.35517,0.3074,0.12565,2.41706,1.83144,2.02759,0.00112625,0.00112625,0.00112625
5,900.607,2.52939,1.86379,1.95311,0.44378,0.35545,0.31093,0.13717,2.34796,1.7182,1.97581,0.001085,0.001085,0.001085
6,1079.42,2.47792,1.76008,1.89374,0.51973,0.38665,0.39239,0.18299,2.24379,1.65747,1.89389,0.00104375,0.00104375,0.00104375
7,1258.22,2.44178,1.73222,1.85431,0.54834,0.38845,0.39082,0.18118,2.20953,1.62323,1.87048,0.0010025,0.0010025,0.0010025
8,1437.15,2.41077,1.68787,1.8156,0.50261,0.41071,0.38813,0.1689,2.21687,1.63137,1.85761,0.00096125,0.00096125,0.00096125
9,1615.55,2.37536,1.65358,1.80324,0.55058,0.41114,0.41979,0.19485,2.18527,1.58421,1.84121,0.00092,0.00092,0.00092
10,1794.64,2.36573,1.63637,1.7699,0.53228,0.4022,0.40168,0.19345,2.16047,1.63209,1.81647,0.00087875,0.00087875,0.00087875
11,1973.57,2.32422,1.60523,1.75984,0.61034,0.44939,0.46503,0.21985,2.0831,1.54565,1.77733,0.0008375,0.0008375,0.0008375
12,2153.14,2.31119,1.58419,1.7449,0.5984,0.44694,0.46012,0.21812,2.06622,1.51718,1.75934,0.00079625,0.00079625,0.00079625
13,2332.24,2.31331,1.54367,1.72807,0.59362,0.45743,0.46325,0.22242,2.06309,1.51347,1.76111,0.000755,0.000755,0.000755
14,2511.36,2.25676,1.50952,1.70567,0.62916,0.44741,0.46354,0.22126,2.03117,1.45245,1.73766,0.00071375,0.00071375,0.00071375
15,2690.71,2.26846,1.50599,1.69989,0.63819,0.44318,0.4555,0.22401,2.08483,1.53802,1.761,0.0006725,0.0006725,0.0006725
16,2870.51,2.23736,1.48185,1.68711,0.55282,0.4635,0.4642,0.22417,2.04425,1.48511,1.74082,0.00063125,0.00063125,0.00063125
17,3050.62,2.20944,1.46651,1.67617,0.60752,0.46768,0.46862,0.22458,2.07922,1.47182,1.74465,0.00059,0.00059,0.00059
18,3230.39,2.20739,1.43883,1.66286,0.61082,0.48258,0.47625,0.23559,2.00463,1.46195,1.7007,0.00054875,0.00054875,0.00054875
19,3410.14,2.19977,1.43488,1.66979,0.59423,0.48158,0.47742,0.23195,2.06454,1.45237,1.73299,0.0005075,0.0005075,0.0005075
20,3590.72,2.17816,1.41632,1.66061,0.59668,0.48349,0.49998,0.24589,2.00827,1.43036,1.70329,0.00046625,0.00046625,0.00046625
21,3772.17,2.22296,1.6654,1.74864,0.64031,0.45365,0.47147,0.22795,1.95776,1.45748,1.68338,0.000425,0.000425,0.000425
22,3952.62,2.22604,1.69329,1.73953,0.62209,0.47129,0.48163,0.23529,1.94493,1.42693,1.66756,0.00038375,0.00038375,0.00038375
23,4133.91,2.19884,1.60067,1.72858,0.58961,0.46688,0.4645,0.23223,1.9395,1.50684,1.65432,0.0003425,0.0003425,0.0003425
24,4315.19,2.17658,1.57346,1.71403,0.6024,0.46397,0.47235,0.22311,1.94279,1.48345,1.67777,0.00030125,0.00030125,0.00030125
25,4496.68,2.17122,1.53506,1.7096,0.56528,0.45901,0.49135,0.24259,1.93125,1.44953,1.66379,0.00026,0.00026,0.00026
26,4678.07,2.14206,1.4695,1.69606,0.59213,0.47915,0.48095,0.23805,1.9427,1.45037,1.66708,0.00021875,0.00021875,0.00021875
27,4859.31,2.12354,1.46322,1.68111,0.60174,0.47959,0.47778,0.23619,1.91118,1.4163,1.64183,0.0001775,0.0001775,0.0001775
28,5040.46,2.10901,1.48557,1.68045,0.5958,0.46533,0.47966,0.23845,1.90013,1.4081,1.64389,0.00013625,0.00013625,0.00013625
29,5221.47,2.10245,1.42433,1.66793,0.62445,0.49393,0.50877,0.25355,1.90445,1.38245,1.64614,9.5e-05,9.5e-05,9.5e-05
30,5404.33,2.08521,1.42963,1.65517,0.612,0.48926,0.48755,0.24373,1.90761,1.39221,1.63623,5.375e-05,5.375e-05,5.375e-05
